t_s,sinal_filtrado,janela,classificacao,class_bin
39.778,5.2713104245107536e-05,217,1,1
39.78,5.119715244066672e-05,217,1,1
39.782,4.978741663701178e-05,217,1,1
39.784,4.851374669377988e-05,217,1,1
39.786,4.740030940021574e-05,217,1,1
39.788,4.646429313419442e-05,217,1,1
39.79,4.571500943581033e-05,217,1,1
39.792,4.5153483289426646e-05,217,1,1
39.794,4.47725723305552e-05,217,1,1
39.796,4.455761463487384e-05,217,1,1
39.798,4.448757112010825e-05,217,1,1
39.8,4.453659300113634e-05,217,1,1
39.802,4.467590202287717e-05,217,1,1
39.804,4.487582963251511e-05,217,1,1
39.806,4.5107844538802193e-05,217,1,1
39.808,4.5346424359534446e-05,217,1,1
39.81,4.5570680737477685e-05,217,1,1
39.812,4.5765687890468335e-05,217,1,1
39.814,4.59234679222391e-05,217,1,1
39.816,4.604356588203097e-05,217,1,1
39.818,4.613313816483514e-05,217,1,1
39.82,4.620650176343112e-05,217,1,1
39.822,4.6284136918556224e-05,217,1,1
39.824,4.63911753047221e-05,217,1,1
39.826,4.6555440828655206e-05,217,1,1
39.828,4.680516182971588e-05,217,1,1
39.83,4.716653738778842e-05,217,1,1
39.832,4.766138187785495e-05,217,1,1
39.834,4.8305068541207445e-05,217,1,1
39.836,4.910495311273672e-05,217,1,1
39.838,5.005940179273706e-05,217,1,1
39.84,5.115748780757292e-05,217,1,1
39.842,5.237936573515548e-05,217,1,1
39.844,5.3697287043688776e-05,217,1,1
39.846,5.507718233537337e-05,217,1,1
39.848,5.648069823570199e-05,217,1,1
39.85,5.7867532970943786e-05,217,1,1
39.852,5.91978700512694e-05,217,1,1
39.854,6.043468646973824e-05,217,1,1
39.856,6.154572885305574e-05,217,1,1
39.858,6.250499510281224e-05,217,1,1
39.86,6.329360092279824e-05,217,1,1
39.862,6.389995219402613e-05,217,1,1
39.864,6.431921991324128e-05,217,1,1
39.866,6.455223117602085e-05,217,1,1
39.868,6.46039970186835e-05,217,1,1
39.87,6.448213943701927e-05,217,1,1
39.872,6.419545017050118e-05,217,1,1
39.874,6.375274870329624e-05,217,1,1
39.876,6.316214033184337e-05,217,1,1
39.878,6.243071982003945e-05,217,1,1
39.88,6.156471930627353e-05,217,1,1
39.882,6.057005231228473e-05,217,1,1
39.884,5.9453153591784685e-05,217,1,1
39.886,5.822196457038523e-05,217,1,1
39.888,5.688688906683224e-05,217,1,1
39.89,5.546156187101372e-05,217,1,1
39.892,5.396332059959806e-05,217,1,1
39.894,5.2413319104477184e-05,217,1,1
39.896,5.0836262966843375e-05,217,1,1
39.898,4.925980020671447e-05,217,1,1
39.9,4.771365784020607e-05,217,1,1
39.902,4.6228647117412016e-05,217,1,1
39.904,4.483565289202453e-05,217,1,1
39.906,4.356469188736687e-05,217,1,1
39.908,4.244409332453007e-05,217,1,1
39.91,4.149983393631538e-05,217,1,1
39.912,4.075504715473088e-05,217,1,1
39.914,4.0229717137280336e-05,217,1,1
39.916,3.9940555158232767e-05,217,1,1
39.918,3.9901034812202494e-05,217,1,1
39.92,4.012153481768948e-05,217,1,1
39.922,4.060950928646024e-05,217,1,1
39.924,4.136958265306676e-05,217,1,1
39.926,4.240346183744648e-05,217,1,1
39.928,4.370958809340505e-05,217,1,1
39.93,4.5282520649209006e-05,217,1,1
39.932,4.711212807766568e-05,217,1,1
39.934,4.9182719301575786e-05,217,1,1
39.936,5.1472255443652726e-05,217,1,1
39.938,5.395176148858589e-05,217,1,1
39.94,5.6585026965529433e-05,217,1,1
39.942,5.932866070714707e-05,217,1,1
39.944,6.213254765999683e-05,217,1,1
39.946,6.494074006431509e-05,217,1,1
39.948,6.76927928380109e-05,217,1,1
39.95,7.032551802115604e-05,217,1,1
39.952,7.277508696397299e-05,217,1,1
39.954,7.497936428217445e-05,217,1,1
39.956,7.688033795462684e-05,217,1,1
39.958,7.842652988265799e-05,217,1,1
39.96,7.957531120252547e-05,217,1,1
39.962,8.029506407434929e-05,217,1,1
39.964,8.056710387097065e-05,217,1,1
39.966,8.038722084493402e-05,217,1,1
39.968,7.976665985982502e-05,217,1,1
39.97,7.873236446150503e-05,217,1,1
39.972,7.732637162952266e-05,217,1,1
39.974,7.560433111503169e-05,217,1,1
39.976,7.363320769521529e-05,217,1,1
39.978,7.14882944058426e-05,217,1,1
39.98,6.924972584464947e-05,217,1,1
39.982,6.699872942631693e-05,217,1,1
39.984,6.481386866317304e-05,217,1,1
39.986,6.276750733962627e-05,217,1,1
39.988,6.0922674306786735e-05,217,1,1
39.99,5.933045968868607e-05,217,1,1
39.992,5.8028036806761646e-05,217,1,1
39.994,5.7037379767144696e-05,217,1,1
39.996,5.636472689883251e-05,217,1,1
39.998,5.600081610636369e-05,217,1,1
40.0,5.59218848720498e-05,217,1,1
40.002,5.60913865746808e-05,217,1,1
40.004,5.646233181718167e-05,217,1,1
40.006,5.698012557754385e-05,217,1,1
40.008,5.7585743280011885e-05,217,1,1
40.01,5.821907144775079e-05,217,1,1
40.012,5.882222710378289e-05,217,1,1
40.014,5.934266467264348e-05,217,1,1
40.016,5.973589278185436e-05,217,1,1
40.018,5.996766775941674e-05,217,1,1
40.02,6.001559049954036e-05,217,1,1
40.022,5.987007489027835e-05,217,1,1
40.024,5.953466556893344e-05,217,1,1
40.026,5.9025681362355126e-05,217,1,1
40.028,5.837118117464104e-05,217,1,1
40.03,5.760930478958564e-05,217,1,1
40.032,5.678610983677456e-05,217,1,1
40.034,5.595306885886525e-05,217,1,1
40.036,5.516439074693892e-05,217,1,1
40.038,5.447430548194482e-05,217,1,1
40.04,5.3934424182128816e-05,217,1,1
40.042,5.359126934478058e-05,217,1,1
40.044,5.348406212809043e-05,217,1,1
40.046,5.364284810818885e-05,217,1,1
40.048,5.408703328046202e-05,217,1,1
40.05,5.482438474507612e-05,217,1,1
40.052,5.585052710500424e-05,217,1,1
40.054,5.714894138211152e-05,217,1,1
40.056,5.8691454211712605e-05,217,1,1
40.058,6.0439194516044326e-05,217,1,1
40.06,6.23439910500911e-05,217,1,1
40.062,6.435018076519321e-05,217,1,1
40.064,6.639678712049651e-05,217,1,1
40.066,6.842000444658385e-05,217,1,1
40.068,7.035588982521465e-05,217,1,1
40.07,7.214312466308289e-05,217,1,1
40.072,7.372567953811908e-05,217,1,1
40.074,7.505521968152627e-05,217,1,1
40.076,7.609313407201025e-05,217,1,1
40.078,7.681213455046182e-05,217,1,1
40.08,7.719740954776419e-05,217,1,1
40.082,7.724730975687549e-05,217,1,1
40.084,7.69735107632927e-05,217,1,1
40.086,7.640058058133245e-05,217,1,1
40.088,7.556490304769838e-05,217,1,1
40.09,7.451295795735086e-05,217,1,1
40.092,7.329900491451215e-05,217,1,1
40.094,7.198225510194904e-05,217,1,1
40.096,7.062366131944027e-05,217,1,1
40.098,6.928250783439177e-05,217,1,1
40.1,6.80130077616976e-05,217,1,1
40.102,6.686110203583702e-05,217,1,1
40.104,6.586161683668001e-05,217,1,1
40.106,6.503589862444458e-05,217,1,1
40.108,6.439001802042815e-05,217,1,1
40.11,6.391361433639527e-05,217,1,1
40.112,6.357943497280693e-05,217,1,1
40.114,6.334360061548699e-05,217,1,1
40.116,6.31465938217146e-05,217,1,1
40.118,6.291492644521522e-05,217,1,1
40.12,6.256339606737019e-05,217,1,1
40.122,6.199780132655159e-05,217,1,1
40.124,6.111796316084933e-05,217,1,1
40.126,5.9820910101989214e-05,217,1,1
40.128,5.800413549573502e-05,217,1,1
40.13,5.556889592985124e-05,217,1,1
40.132,5.242355060075622e-05,217,1,1
40.134,4.848692335484118e-05,217,1,1
40.136,4.369161894477443e-05,217,1,1
40.138,3.798716675142757e-05,217,1,1
40.14,3.134281920245883e-05,217,1,1
40.142,2.3749820832631275e-05,217,1,1
40.144,1.5222996782859795e-05,217,1,1
40.146,5.801558633087013e-06,217,1,1
40.148,-4.450948735495858e-06,217,1,1
40.15,-1.5447628451129755e-05,217,1,1
40.152,-2.7080182529299114e-05,217,1,1
40.154,-3.922181172553673e-05,217,1,1
40.156,-5.1730963931718605e-05,217,1,1
40.158,-6.44557436522663e-05,217,1,1
40.16,-7.723871790205357e-05,217,1,1
40.162,-8.992182469495651e-05,217,1,1
40.164,-0.0001023511301524,217,1,1
40.166,-0.0001143812693804,217,1,1
40.168,-0.0001258795096305,217,1,1
40.17,-0.0001367294561238,217,1,1
40.172,-0.000146834438284,217,1,1
40.174,-0.0001561205441935,217,1,1
40.176,-0.0001645391557461,217,1,1
40.178,-0.0001720687586573,217,1,1
40.18,-0.0001787158045011,217,1,1
40.182,-0.000184514469137,217,1,1
40.184,-0.0001895252487932,217,1,1
40.186,-0.0001938324414888,217,1,1
40.188,-0.0001975406664523,217,1,1
40.19,-0.000200770656358,217,1,1
40.192,-0.0002036545752051,217,1,1
40.194,-0.0002063310459953,217,1,1
40.196,-0.0002089399708435,217,1,1
40.198,-0.0002116171920169,217,1,1
40.2,-0.0002144891212874,217,1,1
40.202,-0.0002176676169473,217,1,1
40.204,-0.0002212455334581,217,1,1
40.206,-0.0002252934125955,217,1,1
40.208,-0.0002298576452305,217,1,1
40.21,-0.0002349601355013,217,1,1
40.212,-0.0002405992088761,217,1,1
40.214,-0.0002467513862789,217,1,1
40.216,-0.0002533737144931,217,1,1
40.218,-0.0002604064860437,217,1,1
40.22,-0.0002677762664113,217,1,1
40.222,-0.0002753991093882,217,1,1
40.224,-0.0002831837361172,217,1,1
40.226,-0.0002910343989349,217,1,1
40.228,-0.0002988532122795,217,1,1
40.23,-0.0003065418801489,217,1,1
40.232,-0.0003140029197872,217,1,1
40.234,-0.0003211406157251,217,1,1
40.236,-0.0003278619740146,217,1,1
40.238,-0.0003340778500037,217,1,1
40.24,-0.0003397042538286,217,1,1
40.242,-0.0003446637159416,217,1,1
40.244,-0.0003488865856176,217,1,1
40.246,-0.000352312212837,217,1,1
40.248,-0.0003548900731112,217,1,1
40.25,-0.0003565809814171,217,1,1
40.252,-0.0003573585376648,217,1,1
40.254,-0.0003572108116743,217,1,1
40.256,-0.0003561420710711,217,1,1
40.258,-0.000354174207482,217,1,1
40.26,-0.0003513474943423,217,1,1
40.262,-0.0003477203879563,217,1,1
40.264,-0.0003433682096887,217,1,1
