t_s,sinal_filtrado,janela,classificacao,class_bin
22.412,9.744749115619912e-06,200,0,0
22.414,1.0198020905582344e-05,200,0,0
22.416,1.0299249205855917e-05,200,0,0
22.418,1.0040940026898302e-05,200,0,0
22.42,9.424445316849735e-06,200,0,0
22.422,8.459902735083905e-06,200,0,0
22.424,7.165885024317246e-06,200,0,0
22.426,5.568786438940323e-06,200,0,0
22.428,3.701984725037e-06,200,0,0
22.43,1.6048233556226353e-06,200,0,0
22.432,-6.785410691221958e-07,200,0,0
22.434,-3.100392921713331e-06,200,0,0
22.436,-5.610790841580718e-06,200,0,0
22.438,-8.158941354183184e-06,200,0,0
22.44,-1.0694529820518204e-05,200,0,0
22.442,-1.3168891619473992e-05,200,0,0
22.444,-1.5535915390899213e-05,200,0,0
22.446,-1.7752619132079933e-05,200,0,0
22.448,-1.977940382330981e-05,200,0,0
22.45,-2.1580047627489263e-05,200,0,0
22.452,-2.3121549810657232e-05,200,0,0
22.454,-2.437396540866905e-05,200,0,0
22.456,-2.5310379745501967e-05,200,0,0
22.458,-2.590714212927029e-05,200,0,0
22.46,-2.6144410008418376e-05,200,0,0
22.462,-2.600697013253764e-05,200,0,0
22.464,-2.548523354401288e-05,200,0,0
22.466,-2.4576268117665463e-05,200,0,0
22.468,-2.328473397126612e-05,200,0,0
22.47,-2.162360536579736e-05,200,0,0
22.472,-1.96145843578265e-05,200,0,0
22.474,-1.7288136616325726e-05,200,0,0
22.476,-1.4683114098849336e-05,200,0,0
22.478,-1.1845973464958265e-05,200,0,0
22.48,-8.829642479945926e-06,200,0,0
22.482,-5.692107985083566e-06,200,0,0
22.484,-2.4947847259249263e-06,200,0,0
22.486,6.993096597831021e-07,200,0,0
22.488,3.827566054789499e-06,200,0,0
22.49,6.829954205236138e-06,200,0,0
22.492,9.651272703209248e-06,200,0,0
22.494,1.224333785525229e-05,200,0,0
22.496,1.4566925837049442e-05,200,0,0
22.498,1.6593274209013746e-05,200,0,0
22.5,1.830498194696544e-05,200,0,0
22.502,1.9696214996505448e-05,200,0,0
22.504,2.0772212660940656e-05,200,0,0
22.506,2.154817535560498e-05,200,0,0
22.508,2.204767231739221e-05,200,0,0
22.51,2.230072594576848e-05,200,0,0
22.512,2.23417109465685e-05,200,0,0
22.514,2.2207173910876103e-05,200,0,0
22.516,2.1933662049379774e-05,200,0,0
22.518,2.155565863966636e-05,200,0,0
22.52,2.110374085578844e-05,200,0,0
22.522,2.0603080930147152e-05,200,0,0
22.524,2.00723991959736e-05,200,0,0
22.526,1.9523458625895632e-05,200,0,0
22.528,1.8961167482721367e-05,200,0,0
22.53,1.838431466345752e-05,200,0,0
22.532,1.778689224152041e-05,200,0,0
22.534,1.715987538773259e-05,200,0,0
22.536,1.6493258442907082e-05,200,0,0
22.538,1.5778109649217742e-05,200,0,0
22.54,1.5008409608238643e-05,200,0,0
22.542,1.4182468002849205e-05,200,0,0
22.544,1.3303761288228442e-05,200,0,0
22.546,1.2381103693643836e-05,200,0,0
22.548,1.1428148953596888e-05,200,0,0
22.55,1.0462294667284436e-05,200,0,0
22.552,9.503106534847898e-06,200,0,0
22.554,8.570408793499764e-06,200,0,0
22.556,7.682221318274353e-06,200,0,0
22.558,6.852760273630461e-06,200,0,0
22.56,6.0907330515554754e-06,200,0,0
22.562,5.398128348962118e-06,200,0,0
22.564,4.769631309204578e-06,200,0,0
22.566,4.192705433360589e-06,200,0,0
22.568,3.648305252658702e-06,200,0,0
22.57,3.1121373994830045e-06,200,0,0
22.572,2.556376754966804e-06,200,0,0
22.574,1.951745784332724e-06,200,0,0
22.576,1.2698459345192997e-06,200,0,0
22.578,4.855854174661691e-07,200,0,0
22.58,-4.204911077798009e-07,200,0,0
22.582,-1.4601698127753091e-06,200,0,0
22.584,-2.6360045589349216e-06,200,0,0
22.586,-3.940359220579029e-06,200,0,0
22.588,-5.355154191556632e-06,200,0,0
22.59,-6.852380051307057e-06,200,0,0
22.592,-8.395401940109148e-06,200,0,0
22.594,-9.94101610651501e-06,200,0,0
22.596,-1.1442127932345488e-05,200,0,0
22.598,-1.2850830718740596e-05,200,0,0
22.6,-1.412161817979464e-05,200,0,0
22.602,-1.521446677501723e-05,200,0,0
22.604,-1.609755484386062e-05,200,0,0
22.606,-1.674942761276755e-05,200,0,0
22.608,-1.7160467462261857e-05,200,0,0
22.61,-1.7333586583397928e-05,200,0,0
22.612,-1.7284119748051514e-05,200,0,0
22.614,-1.703895170665961e-05,200,0,0
22.616,-1.663496209636632e-05,200,0,0
22.618,-1.611691059369612e-05,200,0,0
22.62,-1.5534915804004318e-05,200,0,0
22.622,-1.4941694133856852e-05,200,0,0
22.624,-1.4389711548655026e-05,200,0,0
22.626,-1.3928375329136948e-05,200,0,0
22.628,-1.36013838932865e-05,200,0,0
22.63,-1.344437226098752e-05,200,0,0
22.632,-1.348301928367649e-05,200,0,0
22.634,-1.3731784017933343e-05,200,0,0
22.636,-1.4193384211257449e-05,200,0,0
22.638,-1.4859028959426128e-05,200,0,0
22.64,-1.570932232898088e-05,200,0,0
22.642,-1.6715714504133453e-05,200,0,0
22.644,-1.7842389050461887e-05,200,0,0
22.646,-1.904849278909467e-05,200,0,0
22.648,-2.0290600683998897e-05,200,0,0
22.65,-2.152526809419064e-05,200,0,0
22.652,-2.2711490838082103e-05,200,0,0
22.654,-2.3812891773171307e-05,200,0,0
22.656,-2.479947802910265e-05,200,0,0
22.658,-2.5648854565520807e-05,200,0,0
22.66,-2.6346829704157804e-05,200,0,0
22.662,-2.6887400080012168e-05,200,0,0
22.664,-2.727214869380181e-05,200,0,0
