mean,std,min,max,ptp,abs_mean,abs_max,skew,kurt,zcr_median,janela,y
-0.0016617564700550907,0.0005003078464825347,-0.0019934857111394,-7.155801113949492e-05,0.0019219276999999052,0.0016617564700550907,0.0019934857111394,1.2668955690660555,0.17635401639889192,0.01606425702811245,49,0
-0.0019260861914237753,0.00011524645741310926,-0.0019955548111394,-0.0013752604111394,0.0006202944000000001,0.0019260861914237753,0.0019955548111394,2.5696911379116174,6.217827584834538,0.012048192771084338,50,0
-0.001506237732339408,0.00028882994910016694,-0.0019930380111394,-0.0009144198111394,0.0010786182,0.001506237732339408,0.0019930380111394,0.18367106604663175,-0.9679405879664862,0.22088353413654618,51,0
-0.0014157253521394012,0.00035058722030178427,-0.0019748154111394,-0.0008327569111394,0.0011420584999999998,0.0014157253521394012,0.0019748154111394,0.06090673072652869,-1.377919839047067,0.23694779116465864,52,0
-0.0012560222921394002,0.00034811050892406744,-0.0018201290111394,-0.0007093369111394,0.0011107920999999998,0.0012560222921394002,0.0018201290111394,-0.05060007258392564,-1.3849532941423917,0.24096385542168675,53,0
-0.0011797087295394007,0.00034111673662171944,-0.0017387928111394,-0.0006620743111394,0.0010767185000000001,0.0011797087295394007,0.0017387928111394,-0.04223317156335608,-1.4173305389298865,0.24497991967871485,54,0
-0.0011262858259394012,0.00035714364371498516,-0.0016812089111394,-0.0006007515111394,0.0010804574,0.0011262858259394012,0.0016812089111394,-0.0008988702188951623,-1.4641820596705253,0.23694779116465864,55,0
-0.0010848647429394008,0.000346555813122782,-0.0016186519111394,-0.0005800363111394,0.0010386156,0.0010848647429394008,0.0016186519111394,-0.06732160851270799,-1.4465123130917283,0.24096385542168675,56,0
-0.0010745812675394004,0.00034947595186107593,-0.0016034422111394,-0.0005641974111394,0.0010392448000000002,0.0010745812675394004,0.0016034422111394,0.006153502735865021,-1.5102537222768042,0.23694779116465864,57,0
-0.0010197790365394015,0.0003431811789058291,-0.0015612737111394,-0.0005369482111394,0.0010243255,0.0010197790365394015,0.0015612737111394,-0.10134829499040668,-1.434637273780901,0.24096385542168675,58,0
